"""","自動車免許人口_総 数(人)","自動車免許人口_男 子(人)","自動車免許人口_女 子(人)","  65歳以上の免許人口_総 数(人)","  65歳以上の免許人口_男 子(人)","  65歳以上の免許人口_女 子(人)","自動車免許試験_受験者数(人)","自動車免許試験_合格者数(人)","自動車免許試験_合格率(％)"
"平成 7年(1995年)","640536.0","363296.0","277240.0","62715.0","52433.0","10282.0","71732.0","46026.0","64.16383204148775"
"平成12年(2000年)","678031.0","375208.0","302823.0","87544.0","67308.0","20236.0","61726.0","42451.0","68.77328840359006"
"平成17年(2005年)","693518.0","375492.0","318026.0","110463.0","78071.0","32392.0","52511.0","38063.0","72.48576488735694"
"","","","","","","","","",""
"平成20年(2008年)","690842.0","369564.0","321278.0","129057.0","85854.0","43203.0","64482.0","40708.0","63.1"
"平成21年(2009年)","690144.0","367672.0","322472.0","134774.0","87823.0","46951.0","51142.0","30171.0","59.0"
"平成22年(2010年)","687939.0","365265.0","322674.0","136305.0","87788.0","48517.0","47708.0","30071.0","63.0"
"","","","","","","","","",""
"平成23年(2011年)","686012.0","363019.0","322993.0","138568.0","88116.0","50452.0","47549.0","30118.0","63.3"
"平成24年(2012年)","685030.0","361323.0","323707.0","147986.0","92146.0","55840.0","47586.0","30103.0","63.3"
"平成25年(2013年)","684652.0","359741.0","324911.0","157631.0","96089.0","61542.0","45087.0","30331.0","67.3"
"平成26年(2014年)","682213.0","357260.0","324953.0","166358.0","99529.0","66829.0","41173.0","30276.0","73.5"
